"","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","AUC"
"15",1500,4,0.01,2e-04,0.5,1.5,0.7,0.719311419551565
"12",1500,4,0.01,2e-04,0.3,1.5,0.7,0.719279207590352
"10",1500,4,0.01,2e-04,0.3,0.5,0.7,0.719274498081422
"18",1500,4,0.01,2e-04,0.7,1.5,0.7,0.719194798368624
"14",1500,4,0.01,2e-04,0.5,1,0.7,0.719167385781958
"11",1500,4,0.01,2e-04,0.3,1,0.7,0.719077515901266
"16",1500,4,0.01,2e-04,0.7,0.5,0.7,0.719001444869922
"13",1500,4,0.01,2e-04,0.5,0.5,0.7,0.718835568152822
"17",1500,4,0.01,2e-04,0.7,1,0.7,0.718707461687697
"9",1500,3,0.01,2e-04,0.7,1.5,0.7,0.718181171614258
"8",1500,3,0.01,2e-04,0.7,1,0.7,0.718101497089758
"4",1500,3,0.01,2e-04,0.5,0.5,0.7,0.717981443284645
"7",1500,3,0.01,2e-04,0.7,0.5,0.7,0.717953784374822
"5",1500,3,0.01,2e-04,0.5,1,0.7,0.717900716971735
"6",1500,3,0.01,2e-04,0.5,1.5,0.7,0.717662948985591
"2",1500,3,0.01,2e-04,0.3,1,0.7,0.717662220945138
"1",1500,3,0.01,2e-04,0.3,0.5,0.7,0.717489705245727
"3",1500,3,0.01,2e-04,0.3,1.5,0.7,0.717371090256885
